job title,company_name,link
 Senior Data Engineer , Acaisoft Poland Sp. z.o.o ,https://nofluffjobs.com/pl/job/senior-data-engineer-acaisoft-poland-remote-wf1jai5o
 Fullstack Developer (Python + JS) , Devire ,https://nofluffjobs.com/pl/job/fullstack-developer-python-js-devire-remote-3x3rzjkh
 Engineering Manager , Nomagic ,https://nofluffjobs.com/pl/job/engineering-manager-nomagic-warszawa-yyugabao
 Senior Software Engineer - Python , Egnyte ,https://nofluffjobs.com/pl/job/senior-software-engineer-python-egnyte-remote-c9pnkeyo
 Remote Python Developer , Euvic ,https://nofluffjobs.com/pl/job/remote-python-developer-euvic-nihf1sto
 Senior Python Engineer , Devire ,https://nofluffjobs.com/pl/job/senior-python-engineer-devire-remote-cunb8cuy
 Python Engineer , hubQuest ,https://nofluffjobs.com/pl/job/python-engineer-hubquest-remote-p8xd9dgo
 Python Mid Developer- Remote/Wroclaw , Sofomo ,https://nofluffjobs.com/pl/job/python-mid-developer-remote-wroclaw-sofomo-hedwp3p1
 Tech Lead / Team Lead , Consult Business Partner ,https://nofluffjobs.com/pl/job/tech-lead-team-lead-consult-business-partner-nicosia-r3bpd83a
 Data Scientist , Link Group ,https://nofluffjobs.com/pl/job/data-scientist-link-group-remote-pqnh2uc9
 Middle Python Engineer , N-iX ,https://nofluffjobs.com/pl/job/middle-python-engineer-n-ix-remote-b4jyp4m4
 Python Developer , Link Group ,https://nofluffjobs.com/pl/job/python-developer-link-group-remote-lm4jayfo
 Data Engineer Junior , AVENGA ,https://nofluffjobs.com/pl/job/data-engineer-junior-avenga-remote-txdqz5xr
 Senior Python Developer , Sigma IT Polska ,https://nofluffjobs.com/pl/job/senior-python-developer-sigma-it-polska-remote-cfmb1lqx
 Senior Fullstack Python Developer , Sigma IT Poland ,https://nofluffjobs.com/pl/job/senior-fullstack-python-developer-sigma-it-poland-remote-wl4c0fxe
 Machine Learning Engineer , Orange Polska ,https://nofluffjobs.com/pl/job/machine-learning-engineer-orange-polska-warszawa-kleuzblw
 Data Scientist , Orange Polska ,https://nofluffjobs.com/pl/job/data-scientist-orange-polska-warszawa-alertfbz
 Data Engineer , Orange Polska ,https://nofluffjobs.com/pl/job/data-engineer-orange-polska-warszawa-jkpwpgta
 Senior Python Developer , Devire ,https://nofluffjobs.com/pl/job/senior-python-developer-devire-remote-ablnczhk
 Staff Software Engineer , Nomagic ,https://nofluffjobs.com/pl/job/staff-software-engineer-nomagic-warszawa-ukxtkslv
 Junior Data Scientist , Link Group Sp. z o. o. ,https://nofluffjobs.com/pl/job/junior-data-scientist-link-group-remote-6kprybtc
 Remote Python Developer (Automotive) , Onwelo S.A. ,https://nofluffjobs.com/pl/job/remote-python-developer-automotive-onwelo-0usvm3dy
 Python Engineer , EPAM ,https://nofluffjobs.com/pl/job/python-engineer-epam-krakow-c9yg09aj
 Lead Python Engineer , EPAM ,https://nofluffjobs.com/pl/job/lead-python-engineer-epam-krakow-5pb9tich
 Senior Python Engineer , EPAM ,https://nofluffjobs.com/pl/job/senior-python-engineer-epam-krakow-flqhlp4k
 Remote Python (pySpark) Developer , Link Group ,https://nofluffjobs.com/pl/job/remote-python-pyspark-developer-link-group-izpmqedo
 Python Developer , Devire ,https://nofluffjobs.com/pl/job/python-developer-devire-remote-cez3dg1z
 Senior Python Developer (60-100%) , Datali ,https://nofluffjobs.com/pl/job/senior-python-developer-60-100-datali-remote-af4g8ds5
 Junior Systems Administrator , FIS Techlology Services (Poland) Sp. z o.o. ,https://nofluffjobs.com/pl/job/junior-systems-administrator-fis-techlology-services-poland-wroclaw-zfle5nxa
 Junior Python Developer , Termnet ,https://nofluffjobs.com/pl/job/junior-python-developer-termnet-remote-i3dnyine
 Junior Python Developer , Integree sp. z o.o. ,https://nofluffjobs.com/pl/job/junior-python-developer-integree-remote-waanqbip
 Python Developer , Chargify ,https://nofluffjobs.com/pl/job/python-developer-chargify-remote-4u08dfvw
 Fullstack Medior/Senior Engineer , Alias Innovations Kft. ,https://nofluffjobs.com/pl/job/fullstack-medior-senior-engineer-alias-innovations-kft-budapest-sct9iauu
 Devops AWS Engineer , Sigma IT Poland ,https://nofluffjobs.com/pl/job/devops-aws-engineer-sigma-it-poland-remote-kxomb0pt
 Trainee Test Engineer , Kontakt.io ,https://nofluffjobs.com/pl/job/trainee-test-engineer-kontakt-io-krakow-doecqcm7
 Test Automation Engineer with Networking , Consult Red ,https://nofluffjobs.com/pl/job/test-automation-engineer-with-networking-consult-red-wroclaw-yxi4en3x
 Data Scientist , Addepto ,https://nofluffjobs.com/pl/job/data-scientist-addepto-remote-nxftlphr
 Python Test Development Engineer , Sii Polska ,https://nofluffjobs.com/pl/job/python-test-development-engineer-sii-polska-remote-2lateipb
 Senior Test Automation Engineer , Amartus Polska Sp. z o.o. ,https://nofluffjobs.com/pl/job/senior-test-automation-engineer-amartus-polska-krakow-tq8dnrha
 Senior QA Automation Engineer , GeoComply ,https://nofluffjobs.com/pl/job/senior-qa-automation-engineer-geocomply-warszawa-mop9qxlk
 Senior DevOps Engineer , Allegro ,https://nofluffjobs.com/pl/job/senior-devops-engineer-allegro-poznan-tsmx97mk
 MLOps Engineer , MX Labs ,https://nofluffjobs.com/pl/job/mlops-engineer-mx-labs-remote-6ytwqgpf
 Software Engineer (Machine Learning) , Affirm ,https://nofluffjobs.com/pl/job/software-engineer-machine-learning-affirm-remote-az7fmw2x
 Feature Test Engineer , Avenga ,https://nofluffjobs.com/pl/job/feature-test-engineer-avenga-lodz-y5dkhknd
 Senior DevOps Engineer , N-iX ,https://nofluffjobs.com/pl/job/senior-devops-engineer-n-ix-remote-xzaixw1d
 RPA Lab , Deloitte Advisory ,https://nofluffjobs.com/pl/job/rpa-lab-deloitte-advisory-remote-9w2e6i3w
 AI LAB , Deloitte Advisory ,https://nofluffjobs.com/pl/job/ai-lab-deloitte-advisory-remote-afmbfx8d
 Senior QA Engineering Lead , TKH Technology Poland ,https://nofluffjobs.com/pl/job/senior-qa-engineering-lead-tkh-technology-poland-leszno-9txrn6df
 DevOps Engineer , Boldare ,https://nofluffjobs.com/pl/job/devops-engineer-boldare-gliwice-s0nsi5f0
 Mid QA Engineer for Linux/Android , Vewd Software ,https://nofluffjobs.com/pl/job/mid-qa-engineer-for-linux-android-vewd-software-warszawa-pfexyfam
 Big Data QA Engineer , ERGO Technology & Services ,https://nofluffjobs.com/pl/job/big-data-qa-engineer-ergo-technology-services-remote-egzqotzj
 Cloud Dev Engineer , ERGO Technology & Services ,https://nofluffjobs.com/pl/job/cloud-dev-engineer-ergo-technology-services-remote-yly2ndfc
 Xtwin - Software developer , Hitachi Energy ,https://nofluffjobs.com/pl/job/xtwin-software-developer-hitachi-energy-krakow-o17qhbqd
 Remote Junior DevOps , Antal Poland ,https://nofluffjobs.com/pl/job/remote-junior-devops-antal-poland-uwth3ntf
